City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hambantota,LK,6.1241,81.1185,83.46,69,60,8.61,broken clouds
79,Lavrentiya,RU,65.5833,-171.0,3.61,89,100,3.6,overcast clouds
80,Aksu,CN,41.1231,80.2644,73.02,15,51,3.27,broken clouds
81,Araruna,BR,-6.5583,-35.7417,69.33,96,88,5.39,overcast clouds
82,Ucluelet,CA,48.9329,-125.5528,45.09,78,7,8.99,clear sky
83,Russell,US,32.3502,-85.1999,49.23,53,20,10.36,few clouds
84,Qaanaaq,GL,77.484,-69.3632,-6.7,65,0,7.36,clear sky
85,Mezen,RU,65.8522,44.24,34.95,95,100,13.47,overcast clouds
86,Vaini,TO,-21.2,-175.2,80.76,83,40,4.61,scattered clouds
87,Zhanaozen,KZ,43.3,52.8,51.39,75,61,6.46,broken clouds
88,Bethel,US,41.3712,-73.414,49.08,70,0,3.44,clear sky
89,Nikolskoye,RU,59.7035,30.7861,34.81,91,68,9.01,broken clouds
90,Monteagudo,BO,-19.8167,-63.9833,67.53,91,100,1.86,overcast clouds
91,Honiara,SB,-9.4333,159.95,86.65,67,87,7.23,overcast clouds
92,Socorro,US,31.6546,-106.3033,71.19,11,0,11.72,clear sky
93,Hamilton,US,39.1834,-84.5333,40.08,81,100,11.5,overcast clouds
94,Tiksi,RU,71.6872,128.8694,-0.78,94,100,5.7,overcast clouds
95,Dakar,SN,14.6937,-17.4441,74.28,78,0,9.22,clear sky
96,Bereda,ES,43.2686,-7.5406,43.57,100,82,1.36,broken clouds
97,Geraldton,AU,-28.7667,114.6,72.01,56,100,10.36,overcast clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,63.09,93,40,5.01,scattered clouds
99,Faanui,PF,-16.4833,-151.75,82.67,73,89,17.58,light rain
100,San Quintin,MX,30.4833,-115.95,68.29,54,85,0.51,overcast clouds
101,Jega,NG,12.2175,4.3792,86.68,29,8,7.96,clear sky
102,Ottumwa,US,41.02,-92.4113,38.95,73,20,11.5,few clouds
103,Saldanha,ZA,-33.0117,17.9442,60.85,66,0,14.88,clear sky
104,Esperance,AU,-33.8667,121.9,66.04,64,84,18.39,broken clouds
105,Pinheiro Machado,BR,-31.5783,-53.3811,60.06,93,0,4.21,clear sky
106,Ciuperceni,RO,43.7667,24.95,51.53,75,11,4.59,few clouds
107,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.06,86,37,2.06,scattered clouds
108,Tasiilaq,GL,65.6145,-37.6368,17.08,97,100,1.79,overcast clouds
109,Port Elizabeth,ZA,-33.918,25.5701,61.11,97,20,0.0,few clouds
110,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,41,40,22.37,scattered clouds
111,College,US,64.8569,-147.8028,13.21,50,75,14.97,broken clouds
112,Port-Gentil,GA,-0.7193,8.7815,80.33,82,100,9.95,moderate rain
113,Kavaratti,IN,10.5669,72.642,83.7,72,100,8.39,overcast clouds
114,Derzhavinsk,KZ,51.1,66.3167,43.0,70,100,9.98,overcast clouds
115,Rudnogorsk,RU,57.2639,103.7519,34.61,61,100,1.23,overcast clouds
116,Ampanihy,MG,-24.7,44.75,73.11,88,97,9.57,overcast clouds
117,Rundu,NA,-17.9333,19.7667,64.81,80,1,5.12,clear sky
118,Mazyr,BY,52.0495,29.2456,41.05,89,100,9.08,overcast clouds
119,Alofi,NU,-19.0595,-169.9187,84.09,74,15,6.91,few clouds
